,color,codigo,RGB,R,G,B
120,PMS 520,#703572,"(112, 53, 114)",112,53,114
121,PMS 521,#b58cb2,"(181, 140, 178)",181,140,178
122,PMS 522,#c6a3c1,"(198, 163, 193)",198,163,193
123,PMS 523,#d3b7cc,"(211, 183, 204)",211,183,204
124,PMS 524,#e2ccd3,"(226, 204, 211)",226,204,211
125,PMS 5185,#472835,"(71, 40, 53)",71,40,53
126,PMS 5195,#593344,"(89, 51, 68)",89,51,68
127,PMS 420,#d1ccbf,"(209, 204, 191)",209,204,191
128,PMS 421,#bfbaaf,"(191, 186, 175)",191,186,175
129,PMS 422,#afaaa3,"(175, 170, 163)",175,170,163
130,PMS 423,#96938e,"(150, 147, 142)",150,147,142
131,PMS 424,#827f77,"(130, 127, 119)",130,127,119
