,color,codigo,RGB,R,G,B,visual
97,PMS 242,#7c1c51,"(124, 28, 81)",124,28,81,
98,PMS 2365,#f7c4d8,"(247, 196, 216)",247,196,216,
99,PMS 2375,#ea6bbf,"(234, 107, 191)",234,107,191,
100,PMS 2385,#db28a5,"(219, 40, 165)",219,40,165,
101,PMS 2395,#c4008c,"(196, 0, 140)",196,0,140,
102,PMS 2405,#a8007a,"(168, 0, 122)",168,0,122,
103,PMS 2415,#9b0070,"(155, 0, 112)",155,0,112,
104,PMS 2425,#87005b,"(135, 0, 91)",135,0,91,
105,PMS 243,#f2bad8,"(242, 186, 216)",242,186,216,
106,PMS 244,#eda0d3,"(237, 160, 211)",237,160,211,
107,PMS 245,#e87fc9,"(232, 127, 201)",232,127,201,
108,PMS 246,#cc00a0,"(204, 0, 160)",204,0,160,
109,PMS 247,#b7008e,"(183, 0, 142)",183,0,142,
110,PMS 248,#a3057f,"(163, 5, 127)",163,5,127,
111,PMS 249,#7f2860,"(127, 40, 96)",127,40,96,
112,PMS 250,#edc4dd,"(237, 196, 221)",237,196,221,
113,PMS 251,#e29ed6,"(226, 158, 214)",226,158,214,
114,PMS 252,#d36bc6,"(211, 107, 198)",211,107,198,
115,Purple,#bf30b5,"(191, 48, 181)",191,48,181,
116,PMS 253,#af23a5,"(175, 35, 165)",175,35,165,
117,PMS 254,#a02d96,"(160, 45, 150)",160,45,150,
118,PMS 255,#772d6b,"(119, 45, 107)",119,45,107,
119,PMS 256,#e5c4d6,"(229, 196, 214)",229,196,214,
120,PMS 257,#d3a5c9,"(211, 165, 201)",211,165,201,
121,PMS 258,#9b4f96,"(155, 79, 150)",155,79,150,
122,PMS 259,#72166b,"(114, 22, 107)",114,22,107,
123,PMS 260,#681e5b,"(104, 30, 91)",104,30,91,
124,PMS 261,#5e2154,"(94, 33, 84)",94,33,84,
125,PMS 262,#542344,"(84, 35, 68)",84,35,68,
126,PMS 2562,#d8a8d8,"(216, 168, 216)",216,168,216,
127,PMS 2572,#c687d1,"(198, 135, 209)",198,135,209,
128,PMS 2582,#aa47ba,"(170, 71, 186)",170,71,186,
129,PMS 2592,#930fa5,"(147, 15, 165)",147,15,165,
130,PMS 2602,#820c8e,"(130, 12, 142)",130,12,142,
131,PMS 2612,#701e72,"(112, 30, 114)",112,30,114,
132,PMS 2622,#602d59,"(96, 45, 89)",96,45,89,
133,PMS 2563,#d1a0cc,"(209, 160, 204)",209,160,204,
134,PMS 2573,#ba7cbc,"(186, 124, 188)",186,124,188,
135,PMS 2583,#9e4fa5,"(158, 79, 165)",158,79,165,
136,PMS 2593,#872b93,"(135, 43, 147)",135,43,147,
137,PMS 2603,#70147a,"(112, 20, 122)",112,20,122,
138,PMS 2613,#66116d,"(102, 17, 109)",102,17,109,
139,PMS 2623,#5b195e,"(91, 25, 94)",91,25,94,
140,PMS 2567,#bf93cc,"(191, 147, 204)",191,147,204,
141,PMS 2577,#aa72bf,"(170, 114, 191)",170,114,191,
142,PMS 2587,#8e47ad,"(142, 71, 173)",142,71,173,
143,PMS 2597,#66008c,"(102, 0, 140)",102,0,140,
144,PMS 2607,#5b027a,"(91, 2, 122)",91,2,122,
145,PMS 2617,#560c70,"(86, 12, 112)",86,12,112,
146,PMS 2627,#4c145e,"(76, 20, 94)",76,20,94,
147,PMS 263,#e0cee0,"(224, 206, 224)",224,206,224,
148,PMS 264,#c6aadb,"(198, 170, 219)",198,170,219,
149,PMS 265,#9663c4,"(150, 99, 196)",150,99,196,
150,PMS 266,#6d28aa,"(109, 40, 170)",109,40,170,
151,PMS 267,#59118e,"(89, 17, 142)",89,17,142,
152,PMS 268,#4f2170,"(79, 33, 112)",79,33,112,
153,PMS 269,#442359,"(68, 35, 89)",68,35,89,
154,PMS 2635,#c9add8,"(201, 173, 216)",201,173,216,
155,PMS 2645,#b591d1,"(181, 145, 209)",181,145,209,
156,PMS 2655,#9b6dc6,"(155, 109, 198)",155,109,198,
157,PMS 2665,#894fbf,"(137, 79, 191)",137,79,191,
158,Violet,#6607a5,"(102, 7, 165)",102,7,165,
159,PMS 2685,#56008c,"(86, 0, 140)",86,0,140,
160,PMS 2695,#44235e,"(68, 35, 94)",68,35,94,
161,PMS 270,#baafd3,"(186, 175, 211)",186,175,211,
162,PMS 271,#9e91c6,"(158, 145, 198)",158,145,198,
163,PMS 272,#8977ba,"(137, 119, 186)",137,119,186,
164,PMS 273,#38197a,"(56, 25, 122)",56,25,122,
165,PMS 274,#2b1166,"(43, 17, 102)",43,17,102,
166,PMS 275,#260f54,"(38, 15, 84)",38,15,84,
167,PMS 276,#2b2147,"(43, 33, 71)",43,33,71,
168,PMS 2705,#ad9ed3,"(173, 158, 211)",173,158,211,
