,color,codigo,RGB,R,G,B
442,PMS 366,#c4e58e,"(196, 229, 142)",196,229,142
443,PMS 367,#aadd6d,"(170, 221, 109)",170,221,109
444,PMS 368,#5bbf21,"(91, 191, 33)",91,191,33
445,PMS 369,#56aa1c,"(86, 170, 28)",86,170,28
446,PMS 370,#568e14,"(86, 142, 20)",86,142,20
447,PMS 371,#566b21,"(86, 107, 33)",86,107,33
448,PMS 372,#d8ed96,"(216, 237, 150)",216,237,150
449,PMS 373,#ceea82,"(206, 234, 130)",206,234,130
450,PMS 374,#bae860,"(186, 232, 96)",186,232,96
451,PMS 375,#8cd600,"(140, 214, 0)",140,214,0
452,PMS 376,#7fba00,"(127, 186, 0)",127,186,0
453,PMS 377,#709302,"(112, 147, 2)",112,147,2
454,PMS 378,#566314,"(86, 99, 20)",86,99,20
455,PMS 379,#e0ea68,"(224, 234, 104)",224,234,104
456,PMS 380,#d6e542,"(214, 229, 66)",214,229,66
457,PMS 381,#cce226,"(204, 226, 38)",204,226,38
458,PMS 382,#bad80a,"(186, 216, 10)",186,216,10
459,PMS 383,#a3af07,"(163, 175, 7)",163,175,7
460,PMS 384,#939905,"(147, 153, 5)",147,153,5
461,PMS 385,#707014,"(112, 112, 20)",112,112,20
462,PMS 386,#e8ed60,"(232, 237, 96)",232,237,96
463,PMS 387,#e0ed44,"(224, 237, 68)",224,237,68
464,PMS 388,#d6e80f,"(214, 232, 15)",214,232,15
465,PMS 389,#cee007,"(206, 224, 7)",206,224,7
466,PMS 390,#bac405,"(186, 196, 5)",186,196,5
467,PMS 391,#9e9e07,"(158, 158, 7)",158,158,7
468,PMS 392,#848205,"(132, 130, 5)",132,130,5
469,PMS 393,#f2ef87,"(242, 239, 135)",242,239,135
470,PMS 394,#eaed35,"(234, 237, 53)",234,237,53
471,PMS 395,#e5e811,"(229, 232, 17)",229,232,17
472,PMS 396,#e0e20c,"(224, 226, 12)",224,226,12
473,PMS 397,#c1bf0a,"(193, 191, 10)",193,191,10
474,PMS 398,#afa80a,"(175, 168, 10)",175,168,10
475,PMS 399,#998e07,"(153, 142, 7)",153,142,7
476,PMS 3935,#f2ed6d,"(242, 237, 109)",242,237,109
477,PMS 3945,#efea07,"(239, 234, 7)",239,234,7
478,PMS 3955,#ede211,"(237, 226, 17)",237,226,17
479,PMS 3965,#e8dd11,"(232, 221, 17)",232,221,17
480,PMS 3975,#b5a80c,"(181, 168, 12)",181,168,12
481,PMS 3985,#998c0a,"(153, 140, 10)",153,140,10
482,PMS 3995,#6d6002,"(109, 96, 2)",109,96,2
483,PMS 400,#d1c6b5,"(209, 198, 181)",209,198,181
484,PMS 401,#c1b5a5,"(193, 181, 165)",193,181,165
485,PMS 402,#afa593,"(175, 165, 147)",175,165,147
486,PMS 403,#998c7c,"(153, 140, 124)",153,140,124
487,PMS 404,#827566,"(130, 117, 102)",130,117,102
488,PMS 405,#6b5e4f,"(107, 94, 79)",107,94,79
489,Black,#3d332b,"(61, 51, 43)",61,51,43
490,PMS 406,#cec1b5,"(206, 193, 181)",206,193,181
491,PMS 407,#baaa9e,"(186, 170, 158)",186,170,158
492,PMS 408,#a8998c,"(168, 153, 140)",168,153,140
493,PMS 409,#99897c,"(153, 137, 124)",153,137,124
494,PMS 410,#7c6d63,"(124, 109, 99)",124,109,99
495,PMS 411,#66594c,"(102, 89, 76)",102,89,76
496,PMS 412,#3d3028,"(61, 48, 40)",61,48,40
497,PMS 413,#c6c1b2,"(198, 193, 178)",198,193,178
498,PMS 414,#b5afa0,"(181, 175, 160)",181,175,160
499,PMS 415,#a39e8c,"(163, 158, 140)",163,158,140
500,PMS 416,#8e8c7a,"(142, 140, 122)",142,140,122
501,PMS 417,#777263,"(119, 114, 99)",119,114,99
502,PMS 418,#605e4f,"(96, 94, 79)",96,94,79
503,PMS 419,#282821,"(40, 40, 33)",40,40,33
504,PMS 420,#d1ccbf,"(209, 204, 191)",209,204,191
505,PMS 421,#bfbaaf,"(191, 186, 175)",191,186,175
506,PMS 422,#afaaa3,"(175, 170, 163)",175,170,163
507,PMS 423,#96938e,"(150, 147, 142)",150,147,142
508,PMS 424,#827f77,"(130, 127, 119)",130,127,119
509,PMS 425,#60605b,"(96, 96, 91)",96,96,91
510,PMS 426,#2b2b28,"(43, 43, 40)",43,43,40
511,PMS 427,#dddbd1,"(221, 219, 209)",221,219,209
512,PMS 428,#d1cec6,"(209, 206, 198)",209,206,198
513,PMS 429,#adafaa,"(173, 175, 170)",173,175,170
514,PMS 430,#919693,"(145, 150, 147)",145,150,147
515,PMS 431,#666d70,"(102, 109, 112)",102,109,112
516,PMS 432,#444f51,"(68, 79, 81)",68,79,81
517,PMS 433,#30383a,"(48, 56, 58)",48,56,58
518,PMS 434,#e0d1c6,"(224, 209, 198)",224,209,198
519,PMS 435,#d3bfb7,"(211, 191, 183)",211,191,183
520,PMS 436,#bca59e,"(188, 165, 158)",188,165,158
521,PMS 437,#8c706b,"(140, 112, 107)",140,112,107
522,PMS 438,#593f3d,"(89, 63, 61)",89,63,61
523,PMS 439,#493533,"(73, 53, 51)",73,53,51
524,PMS 440,#3f302b,"(63, 48, 43)",63,48,43
525,PMS 441,#d1d1c6,"(209, 209, 198)",209,209,198
526,PMS 442,#babfb7,"(186, 191, 183)",186,191,183
527,PMS 443,#a3a8a3,"(163, 168, 163)",163,168,163
528,PMS 444,#898e8c,"(137, 142, 140)",137,142,140
529,PMS 445,#565959,"(86, 89, 89)",86,89,89
530,PMS 446,#494c49,"(73, 76, 73)",73,76,73
531,PMS 447,#3f3f38,"(63, 63, 56)",63,63,56
532,Warm Gray,#e5dbcc,"(229, 219, 204)",229,219,204
533,Warm Gray,#ddd1c1,"(221, 209, 193)",221,209,193
534,Warm Gray,#ccc1b2,"(204, 193, 178)",204,193,178
535,Warm Gray,#c1b5a5,"(193, 181, 165)",193,181,165
536,Warm Gray,#b5a899,"(181, 168, 153)",181,168,153
537,Warm Gray,#afa393,"(175, 163, 147)",175,163,147
538,Warm Gray,#a39687,"(163, 150, 135)",163,150,135
539,Warm Gray,#96897a,"(150, 137, 122)",150,137,122
540,Warm Gray,#8c7f70,"(140, 127, 112)",140,127,112
541,Warm Gray,#827263,"(130, 114, 99)",130,114,99
542,Warm Gray,#6d5e51,"(109, 94, 81)",109,94,81
543,Cool Gray,#e8e2d6,"(232, 226, 214)",232,226,214
544,Cool Gray,#ddd8ce,"(221, 216, 206)",221,216,206
545,Cool Gray,#d3cec4,"(211, 206, 196)",211,206,196
546,Cool Gray,#c4c1ba,"(196, 193, 186)",196,193,186
547,Cool Gray,#bab7af,"(186, 183, 175)",186,183,175
548,Cool Gray,#b5b2aa,"(181, 178, 170)",181,178,170
549,Cool Gray,#a5a39e,"(165, 163, 158)",165,163,158
550,Cool Gray,#9b9993,"(155, 153, 147)",155,153,147
551,Cool Gray,#8c8984,"(140, 137, 132)",140,137,132
552,Cool Gray,#777772,"(119, 119, 114)",119,119,114
553,Cool Gray,#686663,"(104, 102, 99)",104,102,99
554,PMS 448,#54472d,"(84, 71, 45)",84,71,45
555,PMS 449,#544726,"(84, 71, 38)",84,71,38
556,PMS 450,#60542b,"(96, 84, 43)",96,84,43
557,PMS 451,#ada07a,"(173, 160, 122)",173,160,122
558,PMS 452,#c4b796,"(196, 183, 150)",196,183,150
559,PMS 453,#d6ccaf,"(214, 204, 175)",214,204,175
560,PMS 454,#e2d8bf,"(226, 216, 191)",226,216,191
561,PMS 4485,#604c11,"(96, 76, 17)",96,76,17
562,PMS 4495,#877530,"(135, 117, 48)",135,117,48
563,PMS 4505,#a09151,"(160, 145, 81)",160,145,81
564,PMS 4515,#bcad75,"(188, 173, 117)",188,173,117
565,PMS 4525,#ccbf8e,"(204, 191, 142)",204,191,142
566,PMS 4535,#dbcea5,"(219, 206, 165)",219,206,165
567,PMS 4545,#e5dbba,"(229, 219, 186)",229,219,186
568,PMS 455,#665614,"(102, 86, 20)",102,86,20
569,PMS 456,#998714,"(153, 135, 20)",153,135,20
570,PMS 457,#b59b0c,"(181, 155, 12)",181,155,12
571,PMS 458,#ddcc6b,"(221, 204, 107)",221,204,107
572,PMS 459,#e2d67c,"(226, 214, 124)",226,214,124
573,PMS 460,#eadd96,"(234, 221, 150)",234,221,150
574,PMS 461,#ede5ad,"(237, 229, 173)",237,229,173
575,PMS 462,#5b4723,"(91, 71, 35)",91,71,35
576,PMS 463,#755426,"(117, 84, 38)",117,84,38
577,PMS 464,#876028,"(135, 96, 40)",135,96,40
578,PMS 465,#c1a875,"(193, 168, 117)",193,168,117
579,PMS 466,#d1bf91,"(209, 191, 145)",209,191,145
580,PMS 467,#ddcca5,"(221, 204, 165)",221,204,165
581,PMS 468,#e2d6b5,"(226, 214, 181)",226,214,181
582,PMS 4625,#472311,"(71, 35, 17)",71,35,17
583,PMS 4635,#8c5933,"(140, 89, 51)",140,89,51
584,PMS 4645,#b28260,"(178, 130, 96)",178,130,96
585,PMS 4655,#c49977,"(196, 153, 119)",196,153,119
586,PMS 4665,#d8b596,"(216, 181, 150)",216,181,150
587,PMS 4675,#e5c6aa,"(229, 198, 170)",229,198,170
588,PMS 4685,#edd3bc,"(237, 211, 188)",237,211,188
589,PMS 469,#603311,"(96, 51, 17)",96,51,17
590,PMS 4695,#51261c,"(81, 38, 28)",81,38,28
591,PMS 4705,#7c513d,"(124, 81, 61)",124,81,61
592,PMS 4715,#99705b,"(153, 112, 91)",153,112,91
593,PMS 4725,#b5917c,"(181, 145, 124)",181,145,124
594,PMS 4735,#ccaf9b,"(204, 175, 155)",204,175,155
595,PMS 4745,#d8bfaa,"(216, 191, 170)",216,191,170
596,PMS 4755,#e2ccba,"(226, 204, 186)",226,204,186
597,PMS 476,#593d2b,"(89, 61, 43)",89,61,43
598,PMS 477,#633826,"(99, 56, 38)",99,56,38
599,PMS 478,#7a3f28,"(122, 63, 40)",122,63,40
600,PMS 479,#af8970,"(175, 137, 112)",175,137,112
601,PMS 480,#d3b7a3,"(211, 183, 163)",211,183,163
602,PMS 481,#e0ccba,"(224, 204, 186)",224,204,186
603,PMS 482,#e5d3c1,"(229, 211, 193)",229,211,193
604,PMS 483,#6b3021,"(107, 48, 33)",107,48,33
605,PMS 484,#9b301c,"(155, 48, 28)",155,48,28
606,PMS 485,#d81e05,"(216, 30, 5)",216,30,5
607,PMS 486,#ed9e84,"(237, 158, 132)",237,158,132
608,PMS 487,#efb5a0,"(239, 181, 160)",239,181,160
609,PMS 488,#f2c4af,"(242, 196, 175)",242,196,175
610,PMS 489,#f2d1bf,"(242, 209, 191)",242,209,191
611,PMS 490,#5b2626,"(91, 38, 38)",91,38,38
612,PMS 491,#752828,"(117, 40, 40)",117,40,40
613,PMS 492,#913338,"(145, 51, 56)",145,51,56
614,PMS 493,#db828c,"(219, 130, 140)",219,130,140
615,PMS 494,#f2adb2,"(242, 173, 178)",242,173,178
616,PMS 495,#f4bcbf,"(244, 188, 191)",244,188,191
617,PMS 496,#f7c9c6,"(247, 201, 198)",247,201,198
618,PMS 497,#512826,"(81, 40, 38)",81,40,38
619,PMS 498,#6d332b,"(109, 51, 43)",109,51,43
620,PMS 499,#7a382d,"(122, 56, 45)",122,56,45
621,PMS 500,#ce898c,"(206, 137, 140)",206,137,140
622,PMS 501,#eab2b2,"(234, 178, 178)",234,178,178
623,PMS 502,#f2c6c4,"(242, 198, 196)",242,198,196
624,PMS 503,#f4d1cc,"(244, 209, 204)",244,209,204
625,PMS 4975,#441e1c,"(68, 30, 28)",68,30,28
626,PMS 4985,#844949,"(132, 73, 73)",132,73,73
627,PMS 4995,#a56b6d,"(165, 107, 109)",165,107,109
628,PMS 5005,#bc8787,"(188, 135, 135)",188,135,135
629,PMS 5015,#d8ada8,"(216, 173, 168)",216,173,168
630,PMS 5025,#e2bcb7,"(226, 188, 183)",226,188,183
631,PMS 5035,#edcec6,"(237, 206, 198)",237,206,198
632,PMS 504,#511e26,"(81, 30, 38)",81,30,38
633,PMS 505,#661e2b,"(102, 30, 43)",102,30,43
634,PMS 506,#7a2638,"(122, 38, 56)",122,38,56
635,PMS 507,#d8899b,"(216, 137, 155)",216,137,155
636,PMS 508,#e8a5af,"(232, 165, 175)",232,165,175
637,PMS 509,#f2babf,"(242, 186, 191)",242,186,191
638,PMS 510,#f4c6c9,"(244, 198, 201)",244,198,201
639,PMS 511,#602144,"(96, 33, 68)",96,33,68
640,PMS 512,#84216b,"(132, 33, 107)",132,33,107
641,PMS 513,#9e2387,"(158, 35, 135)",158,35,135
642,PMS 514,#d884bc,"(216, 132, 188)",216,132,188
643,PMS 515,#e8a3c9,"(232, 163, 201)",232,163,201
644,PMS 516,#f2bad3,"(242, 186, 211)",242,186,211
645,PMS 517,#f4ccd8,"(244, 204, 216)",244,204,216
646,PMS 5115,#4f213a,"(79, 33, 58)",79,33,58
647,PMS 5125,#754760,"(117, 71, 96)",117,71,96
648,PMS 5135,#936b7f,"(147, 107, 127)",147,107,127
649,PMS 5145,#ad8799,"(173, 135, 153)",173,135,153
650,PMS 5155,#ccafb7,"(204, 175, 183)",204,175,183
651,PMS 5165,#e0c9cc,"(224, 201, 204)",224,201,204
652,PMS 5175,#e8d6d1,"(232, 214, 209)",232,214,209
653,PMS 518,#512d44,"(81, 45, 68)",81,45,68
654,PMS 519,#63305e,"(99, 48, 94)",99,48,94
655,PMS 520,#703572,"(112, 53, 114)",112,53,114
656,PMS 521,#b58cb2,"(181, 140, 178)",181,140,178
657,PMS 522,#c6a3c1,"(198, 163, 193)",198,163,193
658,PMS 523,#d3b7cc,"(211, 183, 204)",211,183,204
659,PMS 524,#e2ccd3,"(226, 204, 211)",226,204,211
660,PMS 5185,#472835,"(71, 40, 53)",71,40,53
661,PMS 5195,#593344,"(89, 51, 68)",89,51,68
662,PMS 5205,#8e6877,"(142, 104, 119)",142,104,119
663,PMS 5215,#b5939b,"(181, 147, 155)",181,147,155
664,PMS 5225,#ccadaf,"(204, 173, 175)",204,173,175
665,PMS 5235,#ddc6c4,"(221, 198, 196)",221,198,196
666,PMS 5245,#e5d3cc,"(229, 211, 204)",229,211,204
667,PMS 525,#512654,"(81, 38, 84)",81,38,84
668,PMS 526,#68217a,"(104, 33, 122)",104,33,122
669,PMS 527,#7a1e99,"(122, 30, 153)",122,30,153
670,PMS 528,#af72c1,"(175, 114, 193)",175,114,193
671,PMS 529,#cea3d3,"(206, 163, 211)",206,163,211
672,PMS 530,#d6afd6,"(214, 175, 214)",214,175,214
673,PMS 531,#e5c6db,"(229, 198, 219)",229,198,219
674,PMS 5255,#35264f,"(53, 38, 79)",53,38,79
675,PMS 5265,#493d63,"(73, 61, 99)",73,61,99
676,PMS 5275,#605677,"(96, 86, 119)",96,86,119
677,PMS 5285,#8c8299,"(140, 130, 153)",140,130,153
678,PMS 5295,#b2a8b5,"(178, 168, 181)",178,168,181
679,PMS 5305,#ccc1c6,"(204, 193, 198)",204,193,198
680,PMS 5315,#dbd3d3,"(219, 211, 211)",219,211,211
681,PMS 532,#353842,"(53, 56, 66)",53,56,66
682,PMS 533,#353f5b,"(53, 63, 91)",53,63,91
683,PMS 534,#3a4972,"(58, 73, 114)",58,73,114
684,PMS 535,#9ba3b7,"(155, 163, 183)",155,163,183
685,PMS 536,#adb2c1,"(173, 178, 193)",173,178,193
686,PMS 537,#c4c6ce,"(196, 198, 206)",196,198,206
687,PMS 538,#d6d3d6,"(214, 211, 214)",214,211,214
688,PMS 539,#003049,"(0, 48, 73)",0,48,73
689,PMS 540,#00335b,"(0, 51, 91)",0,51,91
690,PMS 541,#003f77,"(0, 63, 119)",0,63,119
691,PMS 542,#6693bc,"(102, 147, 188)",102,147,188
692,PMS 543,#93b7d1,"(147, 183, 209)",147,183,209
693,PMS 544,#b7ccdb,"(183, 204, 219)",183,204,219
694,PMS 545,#c4d3dd,"(196, 211, 221)",196,211,221
695,PMS 5395,#02283a,"(2, 40, 58)",2,40,58
696,PMS 5405,#3f6075,"(63, 96, 117)",63,96,117
697,PMS 5415,#607c8c,"(96, 124, 140)",96,124,140
698,PMS 5425,#8499a5,"(132, 153, 165)",132,153,165
699,PMS 5435,#afbcbf,"(175, 188, 191)",175,188,191
700,PMS 5445,#c4cccc,"(196, 204, 204)",196,204,204
701,PMS 5455,#d6d8d3,"(214, 216, 211)",214,216,211
702,PMS 546,#0c3844,"(12, 56, 68)",12,56,68
703,PMS 547,#003f54,"(0, 63, 84)",0,63,84
704,PMS 548,#004459,"(0, 68, 89)",0,68,89
705,PMS 549,#5e99aa,"(94, 153, 170)",94,153,170
706,PMS 550,#87afbf,"(135, 175, 191)",135,175,191
707,PMS 551,#a3c1c9,"(163, 193, 201)",163,193,201
708,PMS 552,#c4d6d6,"(196, 214, 214)",196,214,214
709,PMS 5463,#00353a,"(0, 53, 58)",0,53,58
710,PMS 5473,#26686d,"(38, 104, 109)",38,104,109
711,PMS 5483,#609191,"(96, 145, 145)",96,145,145
712,PMS 5493,#8cafad,"(140, 175, 173)",140,175,173
713,PMS 5503,#aac4bf,"(170, 196, 191)",170,196,191
714,PMS 5513,#ced8d1,"(206, 216, 209)",206,216,209
715,PMS 5523,#d6ddd6,"(214, 221, 214)",214,221,214
716,PMS 5467,#193833,"(25, 56, 51)",25,56,51
717,PMS 5477,#3a564f,"(58, 86, 79)",58,86,79
718,PMS 5487,#667c72,"(102, 124, 114)",102,124,114
719,PMS 5497,#91a399,"(145, 163, 153)",145,163,153
720,PMS 5507,#afbab2,"(175, 186, 178)",175,186,178
721,PMS 5517,#c9cec4,"(201, 206, 196)",201,206,196
722,PMS 5527,#ced1c6,"(206, 209, 198)",206,209,198
723,PMS 553,#234435,"(35, 68, 53)",35,68,53
724,PMS 554,#195e47,"(25, 94, 71)",25,94,71
725,PMS 555,#076d54,"(7, 109, 84)",7,109,84
726,PMS 556,#7aa891,"(122, 168, 145)",122,168,145
727,PMS 557,#a3c1ad,"(163, 193, 173)",163,193,173
728,PMS 558,#b7cebc,"(183, 206, 188)",183,206,188
729,PMS 559,#c6d6c4,"(198, 214, 196)",198,214,196
730,PMS 5535,#213d30,"(33, 61, 48)",33,61,48
731,PMS 5545,#4f6d5e,"(79, 109, 94)",79,109,94
732,PMS 5555,#779182,"(119, 145, 130)",119,145,130
733,PMS 5565,#96aa99,"(150, 170, 153)",150,170,153
734,PMS 5575,#afbfad,"(175, 191, 173)",175,191,173
735,PMS 5585,#c4cebf,"(196, 206, 191)",196,206,191
736,PMS 5595,#d8dbcc,"(216, 219, 204)",216,219,204
737,PMS 560,#2b4c3f,"(43, 76, 63)",43,76,63
738,PMS 561,#266659,"(38, 102, 89)",38,102,89
739,PMS 562,#1e7a6d,"(30, 122, 109)",30,122,109
740,PMS 563,#7fbcaa,"(127, 188, 170)",127,188,170
741,PMS 564,#a0cebc,"(160, 206, 188)",160,206,188
742,PMS 565,#bcdbcc,"(188, 219, 204)",188,219,204
743,PMS 566,#d1e2d3,"(209, 226, 211)",209,226,211
744,PMS 5605,#233a2d,"(35, 58, 45)",35,58,45
745,PMS 5615,#546856,"(84, 104, 86)",84,104,86
746,PMS 5625,#728470,"(114, 132, 112)",114,132,112
747,PMS 5635,#9eaa99,"(158, 170, 153)",158,170,153
748,PMS 5645,#bcc1b2,"(188, 193, 178)",188,193,178
749,PMS 5655,#c6ccba,"(198, 204, 186)",198,204,186
750,PMS 568,#d6d6c6,"(214, 214, 198)",214,214,198
751,PMS 569,#05705e,"(5, 112, 94)",5,112,94
752,PMS 570,#008772,"(0, 135, 114)",0,135,114
753,PMS 571,#7fc6b2,"(127, 198, 178)",127,198,178
754,PMS 572,#aadbc6,"(170, 219, 198)",170,219,198
755,PMS 573,#bce2ce,"(188, 226, 206)",188,226,206
756,PMS 574,#cce5d6,"(204, 229, 214)",204,229,214
757,PMS 575,#495928,"(73, 89, 40)",73,89,40
758,PMS 576,#547730,"(84, 119, 48)",84,119,48
759,PMS 577,#608e3a,"(96, 142, 58)",96,142,58
760,PMS 578,#b5cc8e,"(181, 204, 142)",181,204,142
761,PMS 579,#c6d6a0,"(198, 214, 160)",198,214,160
762,PMS 580,#c9d6a3,"(201, 214, 163)",201,214,163
763,PMS 5743,#d8ddb5,"(216, 221, 181)",216,221,181
764,PMS 5753,#3f4926,"(63, 73, 38)",63,73,38
765,PMS 5763,#5e663a,"(94, 102, 58)",94,102,58
766,PMS 5773,#777c4f,"(119, 124, 79)",119,124,79
767,PMS 5783,#9b9e72,"(155, 158, 114)",155,158,114
768,PMS 5793,#b5b58e,"(181, 181, 142)",181,181,142
769,PMS 803,#c6c6a5,"(198, 198, 165)",198,198,165
770,PMS 5747,#d8d6b7,"(216, 214, 183)",216,214,183
771,PMS 5757,#424716,"(66, 71, 22)",66,71,22
772,PMS 5767,#6b702b,"(107, 112, 43)",107,112,43
773,PMS 5777,#8c914f,"(140, 145, 79)",140,145,79
774,PMS 5787,#aaad75,"(170, 173, 117)",170,173,117
775,PMS 5797,#c6c699,"(198, 198, 153)",198,198,153
776,PMS 5807,#d3d1aa,"(211, 209, 170)",211,209,170
777,PMS 581,#e0ddbc,"(224, 221, 188)",224,221,188
778,PMS 582,#605e11,"(96, 94, 17)",96,94,17
779,PMS 583,#878905,"(135, 137, 5)",135,137,5
780,PMS 584,#aaba0a,"(170, 186, 10)",170,186,10
781,PMS 585,#dbe06b,"(219, 224, 107)",219,224,107
782,PMS 586,#e2e584,"(226, 229, 132)",226,229,132
783,PMS 587,#e8e89b,"(232, 232, 155)",232,232,155
784,PMS 5815,#494411,"(73, 68, 17)",73,68,17
785,PMS 5825,#75702b,"(117, 112, 43)",117,112,43
786,PMS 5835,#9e9959,"(158, 153, 89)",158,153,89
787,PMS 5845,#b2aa70,"(178, 170, 112)",178,170,112
788,PMS 5855,#ccc693,"(204, 198, 147)",204,198,147
789,PMS 5865,#d6cea3,"(214, 206, 163)",214,206,163
790,PMS 5875,#e0dbb5,"(224, 219, 181)",224,219,181
791,PMS 600,#f4edaf,"(244, 237, 175)",244,237,175
792,PMS 601,#f2ed9e,"(242, 237, 158)",242,237,158
793,PMS 602,#f2ea87,"(242, 234, 135)",242,234,135
794,PMS 603,#ede85b,"(237, 232, 91)",237,232,91
795,PMS 604,#e8dd21,"(232, 221, 33)",232,221,33
796,PMS 605,#ddce11,"(221, 206, 17)",221,206,17
797,PMS 606,#d3bf11,"(211, 191, 17)",211,191,17
798,PMS 607,#f2eabc,"(242, 234, 188)",242,234,188
799,PMS 608,#efe8ad,"(239, 232, 173)",239,232,173
800,PMS 609,#eae596,"(234, 229, 150)",234,229,150
801,PMS 610,#e2db72,"(226, 219, 114)",226,219,114
802,PMS 611,#d6ce49,"(214, 206, 73)",214,206,73
803,PMS 612,#c4ba00,"(196, 186, 0)",196,186,0
804,PMS 613,#afa00c,"(175, 160, 12)",175,160,12
805,PMS 614,#eae2b7,"(234, 226, 183)",234,226,183
806,PMS 615,#e2dbaa,"(226, 219, 170)",226,219,170
807,PMS 616,#ddd69b,"(221, 214, 155)",221,214,155
808,PMS 617,#ccc47c,"(204, 196, 124)",204,196,124
809,PMS 618,#b5aa59,"(181, 170, 89)",181,170,89
810,PMS 619,#968c28,"(150, 140, 40)",150,140,40
811,PMS 620,#847711,"(132, 119, 17)",132,119,17
812,PMS 621,#d8ddce,"(216, 221, 206)",216,221,206
813,PMS 622,#c1d1bf,"(193, 209, 191)",193,209,191
814,PMS 623,#a5bfaa,"(165, 191, 170)",165,191,170
815,PMS 624,#7fa08c,"(127, 160, 140)",127,160,140
816,PMS 625,#5b8772,"(91, 135, 114)",91,135,114
817,PMS 626,#21543f,"(33, 84, 63)",33,84,63
818,PMS 627,#0c3026,"(12, 48, 38)",12,48,38
819,PMS 628,#cce2dd,"(204, 226, 221)",204,226,221
820,PMS 629,#b2d8d8,"(178, 216, 216)",178,216,216
821,PMS 630,#8cccd3,"(140, 204, 211)",140,204,211
822,PMS 631,#54b7c6,"(84, 183, 198)",84,183,198
823,PMS 632,#00a0ba,"(0, 160, 186)",0,160,186
824,PMS 633,#007f99,"(0, 127, 153)",0,127,153
825,PMS 634,#00667f,"(0, 102, 127)",0,102,127
826,PMS 635,#bae0e0,"(186, 224, 224)",186,224,224
827,PMS 636,#99d6dd,"(153, 214, 221)",153,214,221
828,PMS 637,#6bc9db,"(107, 201, 219)",107,201,219
829,PMS 638,#00b5d6,"(0, 181, 214)",0,181,214
830,PMS 639,#00a0c4,"(0, 160, 196)",0,160,196
831,PMS 640,#008cb2,"(0, 140, 178)",0,140,178
832,PMS 641,#007aa5,"(0, 122, 165)",0,122,165
833,PMS 642,#d1d8d8,"(209, 216, 216)",209,216,216
834,PMS 643,#c6d1d6,"(198, 209, 214)",198,209,214
835,PMS 644,#9bafc4,"(155, 175, 196)",155,175,196
836,PMS 645,#7796b2,"(119, 150, 178)",119,150,178
837,PMS 646,#5e82a3,"(94, 130, 163)",94,130,163
838,PMS 647,#26547c,"(38, 84, 124)",38,84,124
839,PMS 648,#00305e,"(0, 48, 94)",0,48,94
840,PMS 649,#d6d6d8,"(214, 214, 216)",214,214,216
841,PMS 650,#bfc6d1,"(191, 198, 209)",191,198,209
842,PMS 651,#9baabf,"(155, 170, 191)",155,170,191
843,PMS 652,#6d87a8,"(109, 135, 168)",109,135,168
844,PMS 653,#335687,"(51, 86, 135)",51,86,135
845,PMS 654,#0f2b5b,"(15, 43, 91)",15,43,91
846,PMS 655,#0c1c47,"(12, 28, 71)",12,28,71
847,PMS 656,#d6dbe0,"(214, 219, 224)",214,219,224
848,PMS 657,#c1c9dd,"(193, 201, 221)",193,201,221
849,PMS 658,#a5afd6,"(165, 175, 214)",165,175,214
850,PMS 659,#7f8cbf,"(127, 140, 191)",127,140,191
851,PMS 660,#5960a8,"(89, 96, 168)",89,96,168
852,PMS 661,#2d338e,"(45, 51, 142)",45,51,142
853,PMS 662,#0c1975,"(12, 25, 117)",12,25,117
854,PMS 663,#e2d3d6,"(226, 211, 214)",226,211,214
855,PMS 664,#d8ccd1,"(216, 204, 209)",216,204,209
856,PMS 665,#c6b5c4,"(198, 181, 196)",198,181,196
857,PMS 666,#a893ad,"(168, 147, 173)",168,147,173
858,PMS 667,#7f6689,"(127, 102, 137)",127,102,137
859,PMS 668,#664975,"(102, 73, 117)",102,73,117
860,PMS 669,#472b59,"(71, 43, 89)",71,43,89
861,PMS 670,#f2d6d8,"(242, 214, 216)",242,214,216
862,PMS 671,#efc6d3,"(239, 198, 211)",239,198,211
863,PMS 672,#eaaac4,"(234, 170, 196)",234,170,196
864,PMS 673,#e08cb2,"(224, 140, 178)",224,140,178
865,PMS 674,#d36b9e,"(211, 107, 158)",211,107,158
866,PMS 675,#bc3877,"(188, 56, 119)",188,56,119
867,PMS 676,#a00054,"(160, 0, 84)",160,0,84
868,PMS 677,#edd6d6,"(237, 214, 214)",237,214,214
869,PMS 678,#eaccce,"(234, 204, 206)",234,204,206
870,PMS 679,#e5bfc6,"(229, 191, 198)",229,191,198
871,PMS 680,#d39eaf,"(211, 158, 175)",211,158,175
872,PMS 681,#b7728e,"(183, 114, 142)",183,114,142
873,PMS 682,#a05175,"(160, 81, 117)",160,81,117
874,PMS 683,#7f284f,"(127, 40, 79)",127,40,79
875,PMS 684,#efccce,"(239, 204, 206)",239,204,206
876,PMS 685,#eabfc4,"(234, 191, 196)",234,191,196
877,PMS 686,#e0aaba,"(224, 170, 186)",224,170,186
878,PMS 687,#c9899e,"(201, 137, 158)",201,137,158
879,PMS 688,#b26684,"(178, 102, 132)",178,102,132
880,PMS 689,#934266,"(147, 66, 102)",147,66,102
881,PMS 690,#702342,"(112, 35, 66)",112,35,66
882,PMS 691,#efd1c9,"(239, 209, 201)",239,209,201
883,PMS 692,#e8bfba,"(232, 191, 186)",232,191,186
