,color,codigo,RGB,R,G,B
100,PMS 1645,#f97242,"(249, 114, 66)",249,114,66
101,PMS 1655,#f95602,"(249, 86, 2)",249,86,2
102,PMS 1665,#f95602,"(249, 86, 2)",249,86,2
103,PMS 1675,#a53f0f,"(165, 63, 15)",165,63,15
104,PMS 1685,#843511,"(132, 53, 17)",132,53,17
105,PMS 169,#f9baaa,"(249, 186, 170)",249,186,170
106,PMS 170,#f98972,"(249, 137, 114)",249,137,114
107,PMS 171,#f9603a,"(249, 96, 58)",249,96,58
108,PMS 172,#f74902,"(247, 73, 2)",247,73,2
109,PMS 173,#d14414,"(209, 68, 20)",209,68,20
110,PMS 174,#933311,"(147, 51, 17)",147,51,17
111,PMS 175,#6d3321,"(109, 51, 33)",109,51,33
112,PMS 176,#f9afad,"(249, 175, 173)",249,175,173
113,PMS 177,#f9827f,"(249, 130, 127)",249,130,127
114,PMS 178,#f95e59,"(249, 94, 89)",249,94,89
115,Warm Red,#f93f26,"(249, 63, 38)",249,63,38
116,PMS 179,#e23d28,"(226, 61, 40)",226,61,40
117,PMS 180,#c13828,"(193, 56, 40)",193,56,40
118,PMS 181,#7c2d23,"(124, 45, 35)",124,45,35
119,PMS 1765,#f99ea3,"(249, 158, 163)",249,158,163
120,PMS 1775,#f9848e,"(249, 132, 142)",249,132,142
121,PMS 1785,#fc4f59,"(252, 79, 89)",252,79,89
122,PMS 1788,#ef2b2d,"(239, 43, 45)",239,43,45
123,PMS 1795,#d62828,"(214, 40, 40)",214,40,40
124,PMS 1805,#af2626,"(175, 38, 38)",175,38,38
125,PMS 1815,#7c211e,"(124, 33, 30)",124,33,30
126,PMS 1767,#f9b2b7,"(249, 178, 183)",249,178,183
127,PMS 1777,#fc6675,"(252, 102, 117)",252,102,117
128,PMS 1787,#f43f4f,"(244, 63, 79)",244,63,79
129,Red 032,#ef2b2d,"(239, 43, 45)",239,43,45
130,PMS 1797,#cc2d30,"(204, 45, 48)",204,45,48
131,PMS 1807,#a03033,"(160, 48, 51)",160,48,51
132,PMS 1817,#5b2d28,"(91, 45, 40)",91,45,40
133,PMS 182,#f9bfc1,"(249, 191, 193)",249,191,193
134,PMS 183,#fc8c99,"(252, 140, 153)",252,140,153
135,PMS 184,#fc5e72,"(252, 94, 114)",252,94,114
136,PMS 185,#e8112d,"(232, 17, 45)",232,17,45
137,PMS 186,#ce1126,"(206, 17, 38)",206,17,38
138,PMS 187,#af1e2d,"(175, 30, 45)",175,30,45
139,PMS 188,#7c2128,"(124, 33, 40)",124,33,40
140,PMS 189,#ffa3b2,"(255, 163, 178)",255,163,178
141,PMS 190,#fc758e,"(252, 117, 142)",252,117,142
142,PMS 191,#f4476b,"(244, 71, 107)",244,71,107
143,PMS 192,#e5053a,"(229, 5, 58)",229,5,58
144,PMS 193,#bf0a30,"(191, 10, 48)",191,10,48
145,PMS 194,#992135,"(153, 33, 53)",153,33,53
146,PMS 195,#772d35,"(119, 45, 53)",119,45,53
147,PMS 1895,#fcbfc9,"(252, 191, 201)",252,191,201
148,PMS 1905,#fc9bb2,"(252, 155, 178)",252,155,178
149,PMS 1915,#f4547c,"(244, 84, 124)",244,84,124
150,PMS 1925,#e00747,"(224, 7, 71)",224,7,71
151,PMS 1935,#c10538,"(193, 5, 56)",193,5,56
152,PMS 1945,#a80c35,"(168, 12, 53)",168,12,53
153,PMS 1955,#931638,"(147, 22, 56)",147,22,56
154,PMS 196,#f4c9c9,"(244, 201, 201)",244,201,201
155,PMS 197,#ef99a3,"(239, 153, 163)",239,153,163
156,PMS 198,#e5566d,"(229, 86, 109)",229,86,109
157,PMS 199,#d81c3f,"(216, 28, 63)",216,28,63
158,PMS 200,#c41e3a,"(196, 30, 58)",196,30,58
159,PMS 201,#a32638,"(163, 38, 56)",163,38,56
160,PMS 202,#8c2633,"(140, 38, 51)",140,38,51
161,PMS 203,#f2afc1,"(242, 175, 193)",242,175,193
162,PMS 204,#ed7a9e,"(237, 122, 158)",237,122,158
163,PMS 205,#e54c7c,"(229, 76, 124)",229,76,124
164,PMS 206,#d30547,"(211, 5, 71)",211,5,71
165,PMS 207,#af003d,"(175, 0, 61)",175,0,61
166,PMS 208,#8e2344,"(142, 35, 68)",142,35,68
167,PMS 209,#75263d,"(117, 38, 61)",117,38,61
168,PMS 210,#ffa0bf,"(255, 160, 191)",255,160,191
169,PMS 211,#ff77a8,"(255, 119, 168)",255,119,168
170,PMS 212,#f94f8e,"(249, 79, 142)",249,79,142
171,PMS 213,#ea0f6b,"(234, 15, 107)",234,15,107
172,PMS 214,#cc0256,"(204, 2, 86)",204,2,86
173,PMS 215,#a50544,"(165, 5, 68)",165,5,68
174,PMS 216,#7c1e3f,"(124, 30, 63)",124,30,63
175,PMS 217,#f4bfd1,"(244, 191, 209)",244,191,209
176,PMS 218,#ed72aa,"(237, 114, 170)",237,114,170
177,PMS 219,#e22882,"(226, 40, 130)",226,40,130
178,Rubine Red,#d10056,"(209, 0, 86)",209,0,86
179,PMS 220,#aa004f,"(170, 0, 79)",170,0,79
180,PMS 221,#930042,"(147, 0, 66)",147,0,66
181,PMS 222,#70193d,"(112, 25, 61)",112,25,61
182,PMS 223,#f993c4,"(249, 147, 196)",249,147,196
183,PMS 224,#f46baf,"(244, 107, 175)",244,107,175
184,PMS 225,#ed2893,"(237, 40, 147)",237,40,147
185,PMS 226,#d60270,"(214, 2, 112)",214,2,112
186,PMS 227,#ad005b,"(173, 0, 91)",173,0,91
187,PMS 228,#8c004c,"(140, 0, 76)",140,0,76
188,PMS 229,#6d213f,"(109, 33, 63)",109,33,63
189,PMS 230,#ffa0cc,"(255, 160, 204)",255,160,204
190,PMS 231,#fc70ba,"(252, 112, 186)",252,112,186
191,PMS 232,#f43fa5,"(244, 63, 165)",244,63,165
192,Rhodamine Red,#ed0091,"(237, 0, 145)",237,0,145
193,PMS 233,#ce007c,"(206, 0, 124)",206,0,124
194,PMS 234,#aa0066,"(170, 0, 102)",170,0,102
195,PMS 235,#8e0554,"(142, 5, 84)",142,5,84
196,PMS 236,#f9afd3,"(249, 175, 211)",249,175,211
197,PMS 237,#f484c4,"(244, 132, 196)",244,132,196
198,PMS 238,#ed4faf,"(237, 79, 175)",237,79,175
